Model,MAE ($),MAE Std,RMSE ($),RMSE Std,MAPE (%),R²,Train Time (s)
XGBoost,59877.4764856563,1166.3351679995103,110634.1676522526,8679.120276238888,11.241085457591883,0.9087140216426393,10.7
LightGBM,60658.78714926529,1364.09369081289,112085.64516711126,7624.74107299785,11.369079413908272,0.906242838819703,20.9
RandomForest,66702.99872846488,2042.9290203323708,126045.81475494061,8204.61894407827,12.234532301932989,0.8818442504753478,22.0
